Symbol,Company,Current CEO,Gender,Date Employed,Age,Education,children,sector,headquarters,headquartersMSA,popperlesshS,population,popbelowpovlevel,percentmenbusiness,percentfemalebusiness,implicitatt,exp1career,exp2fam,Slopeafterhire,fullslope
BRK.B,Berkshire Hathaway,Warren Buffet,2,5/23/1905,89,MS,3,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.00160808,0.00160808
BBY,Best Buy,Corie Barry,1,6/1/2019,44,BA,2,Diversified Banks,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.00815147,0.004357791
NUE,Nucor Corp.,Leon J. Topalian,2,1/1/2020,51,BS,,Steel,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,0.015370595,-0.006962643
SEE,Sealed Air,Edward L. Doheny II,2,1/1/2018,56,Masters,,Paper Packaging,"Charlotte, North Carolina","Charlotte-Concord-Gastonia, NC-SC Metro Area",10.6,2473125,12.7,55,45,0.342258043,4.392523364,3.444765343,-0.009240547,-0.009175028
UPS,UPS,Carol Tome,1,6/1/2020,63,MBA,,Life & Health Insurance,"Chattanooga, Tennessee","Chattanooga, TN-GA Metro Area",10,552043,14,57.2,42.8,0.373451372,4.462068966,3.420689655,-0.000537971,-0.000537971
ADM,Archer-Daniels-Midland Co,Juan Luciano,2,1/1/2015,58,MS,,Agricultural Products,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.001152472,-0.001152472
CBOE,Cboe Global Markets,Edward Tilly,2,5/1/2013,56,BA,2,Financial Exchanges & Data,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.003648328,0.003648328
LMT,Lockheed Martin,Marillyn A. Hewson,1,1/13/2020,66,MBA,2,Distributors,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006914407,0.00833251
MSI,Motorola Solutions Inc.,Gregory Q. Brown,2,1/1/2008,60,BS,2,Communications Equipment,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.004410685,0.004410685
NTRS,Northern Trust Corp.,Michael G O'Grady,2,1/23/2019,54,MBA,,Asset Management & Custody Banks,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.000649544,0.00038003
NOC,Northrop,Kathy Warden,1,1/1/2019,48,MA,2,Asset Management & Custody Banks,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.006510018,0.007381403
UNH,United Health,David S. Wichmann,2,9/17/2020,58,BS,,Airlines,"Chicago, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.007218787,0.007218787
M,Macy's Inc.,Jeffrey Gennette,2,3/1/2017,58,Bachelor,1,Department Stores,"Cincinnati, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,-0.0095237,-0.009563833
PG,Proctor and Gamble,David S. Taylor,2,11/15/2020,62,BS,,Personal Products,"Cincinnati, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,0.008807997,0.008807997
PGR,Progressive,Tricia Griffith,1,7/16/2020,55,BS,,Personal Products,"Cincinnati, Ohio","Cincinnati, OH-KY-IN Metro Area",7.3,2168825,12.7,54.9,45.1,0.346187125,4.320579111,3.385692068,0.000122583,0.000122583
SHW,Sherwin-Williams,John G. Morikis,2,1/1/2016,56,MBA,,Specialty Chemicals,"Cleveland, Ohio","Cleveland-Elyria, OH Metro Area",8.3,2061766,14.8,55,45,0.358792435,4.327102804,3.38372093,0.008067861,0.008073656
AFL,AFLAC Inc,Dan Amos,2,6/12/1905,68,BA,2,Life & Health Insurance,"Columbus, Georgia","Columbus, GA-AL Metro Area",10.9,307724,19.2,54.7,45.3,0.311370624,4.379310345,3.310344828,-0.004380975,-0.004380975
CMI,Cummins Inc.,Tom Linebarger,2,1/1/2012,57,MBA ,2,Industrial Machinery,"Columbus, Indiana","Columbus, IN Metro Area",6.1,81893,13,60.2,39.8,0.274001416,4.510638298,3.563829787,-0.000494332,-0.000494332
MNST,Monster Beverage,Rodney Sacks,2,6/12/1905,69,JD,,Soft Drinks,"Corona, California","Riverside-San Bernardino-Ontario, CA Metro Area",20.4,4518699,15.9,56.9,43.1,0.341729037,4.235990529,3.363636364,0.003701543,0.003701543
ATO,Atmos Energy Corp,J. Kevin Akers,2,10/1/2019,56,BA,,Gas Utilities,"Dallas, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,0.007701054,0.004886246
LUV,Southwest Airlines,Gary C. Kelly ,2,6/26/1905,65,Bachelor,2,Airlines,"Dallas, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,-0.00303049,-0.00303049
TXN,Texas Instruments,Rich Templeton,2,5/1/2004,61,Bachelor,3,Semiconductors,"Dallas, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588,0.003620879,0.003620879
ABMD,ABIOMED Inc,Michael Minogue,2,6/1/2005,52,MBA,,Health Care Equipment,"Danvers, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,-0.010422442,-0.010422442
ACN ,Accenture,Julie Sweet,1,9/19/2020,52,JD,2,Health Care Equipment,"Danvers, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724,0.004147531,0.004147531
F,Ford Motor Company,Jim Hackett,2,5/22/2017,65,Bachelor,2,Automobile Manufacturers,"Dearborn, Michigan","Detroit-Warren-Dearborn, MI Metro Area",9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387,-0.007583658,-0.007087182
CAT,Caterpillar Inc.,Jim Umpleby,2,1/1/2017,62,BS,2,Construction Machinery & Heavy Trucks,"Deerfield, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.000801993,-0.001004606
CF,CF Industries Holdings Inc,W Anthony Will,2,1/1/2014,54,MBA,,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,-0.004555452,-0.004555452
MDLZ,Mondelez International,Dirk Van de Put,2,11/1/2017,60,Masters,,Packaged Foods & Meats,"Deerfield, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667,0.003424743,0.004310828
AAPL,Apple,Tim Cook,2,8/1/2011,60,MBA,0,Residential REITs,"Denver, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.010735454,0.010735454
DVA,DaVita Inc.,Javier J Rodriguez,2,6/1/2019,48,MBA ,3,Health Care Facilities,"Denver, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.012684057,0.010657159
NEM,Newmont Corporation,Tom Palmer,2,10/1/2019,51,MSE,,Gold,"Denver, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713,0.014949493,0.009362781
DUK,Duke,Lynn Good,1,6/12/2020,55,BS,2,Multi-Utilities,"Detroit, Michigan","Detroit-Warren-Dearborn, MI Metro Area",9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387,0.001620511,0.001620511
