Symbol,Company,Current CEO,"Gender (1 female, 2 male)",Date Employed,Age,Education Level,Number of Children they have,sector,headquarters,headquartersMSA,pop with % less than HS,Estimate!!Total!!Total population,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,"Estimate!!Percent Male!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations!!Management, business, and financial occupations",implicit attitudes,exp1career,exp2fam
AFL,AFLAC Inc,Dan Amos,2,6/12/1905,68,BA,2,Life & Health Insurance,"Columbus, Georgia","Columbus, GA-AL Metro Area",10.9,307724,19.2,54.7,45.3,0.311370624,4.379310345,3.310344828
CMI,Cummins Inc.,Tom Linebarger,2,1/1/2012,57,MBA ,2,Industrial Machinery,"Columbus, Indiana","Columbus, IN Metro Area",6.1,81893,13,60.2,39.8,0.274001416,4.510638298,3.563829787
MNST,Monster Beverage,Rodney Sacks,2,6/12/1905,69,JD,,Soft Drinks,"Corona, California","Riverside-San Bernardino-Ontario, CA Metro Area",20.4,4518699,15.9,56.9,43.1,0.341729037,4.235990529,3.363636364
ATO,Atmos Energy Corp,J. Kevin Akers,2,10/1/2019,56,BA,,Gas Utilities,"Dallas, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588
LUV,Southwest Airlines,Gary C. Kelly ,2,6/26/1905,65,Bachelor,2,Airlines,"Dallas, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588
TXN,Texas Instruments,Rich Templeton,2,5/1/2004,61,Bachelor,3,Semiconductors,"Dallas, Texas","Dallas-Fort Worth-Arlington, TX Metro Area",16,7255028,12.6,55.5,44.5,0.340036237,4.437026344,3.417419588
ABMD,ABIOMED Inc,Michael Minogue,2,6/1/2005,52,MBA,,Health Care Equipment,"Danvers, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
ACN ,Accenture,Julie Sweet,1,9/19/2020,52,JD,2,Health Care Equipment,"Danvers, Massachusetts","Boston-Cambridge-Newton, MA-NH Metro Area",7,4811732,9.8,53.7,46.3,0.343589101,4.353726584,3.460971724
F,Ford Motor Company,Jim Hackett,2,5/22/2017,65,Bachelor,2,Automobile Manufacturers,"Dearborn, Michigan","Detroit-Warren-Dearborn, MI Metro Area",9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387
CAT,Caterpillar Inc.,Jim Umpleby,2,1/1/2017,62,BS,2,Construction Machinery & Heavy Trucks,"Deerfield, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
CF,CF Industries Holdings Inc,W Anthony Will,2,1/1/2014,54,MBA,,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
MDLZ,Mondelez International,Dirk Van de Put,2,11/1/2017,60,Masters,,Packaged Foods & Meats,"Deerfield, Illinois","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",11.3,9536428,12.5,55.3,44.7,0.34690253,4.373612139,3.451666667
AAPL,Apple,Tim Cook,2,8/1/2011,60,MBA,0,Residential REITs,"Denver, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713
DVA,DaVita Inc.,Javier J Rodriguez,2,6/1/2019,48,MBA ,3,Health Care Facilities,"Denver, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713
NEM,Newmont Corporation,Tom Palmer,2,10/1/2019,51,MSE,,Gold,"Denver, Colorado","Denver-Aurora-Lakewood, CO Metro Area",10.1,2850221,9.4,54.7,45.3,0.324822477,4.321071753,3.512715713
DUK,Duke,Lynn Good,1,6/12/2020,55,BS,2,Multi-Utilities,"Detroit, Michigan","Detroit-Warren-Dearborn, MI Metro Area",9.1,4317179,15.1,55,45,0.353504588,4.285151856,3.449887387
CAH,Cardinal Health Inc.,Michael C Kaufmann,2,1/1/2018,57,BS,,Health Care Distributors,"Dublin, Ohio","Columbus, OH Metro Area",7.6,2054062,13.7,54.9,45.1,0.333652368,4.340696118,3.41750167
CHRW,C. H. Robinson Worldwide,Robert Biesterfeld,2,5/1/2019,44,BA,,Air Freight & Logistics,"Eden Prairie, Minnesota","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",7,3557528,9,53.2,46.8,0.346231977,4.305490654,3.479087452
FTV,Fortive Corp,Jim Lico,2,7/8/1905,53,MS,3,Industrial Machinery,"Everett, Washington","Seattle-Tacoma-Bellevue, WA Metro Area",7.7,3809717,9.6,53.8,46.2,0.318362871,4.365116828,3.494928049
